given_name,created_date,last_modified_date,family_name,credit_name,other_names,orcid_identifier_path,biography,researcher_urls,emails,keywords,external_ids,organization_name,organization_address_city,organization_address_region,organization_address_country,organization_disambiguated_organization_identifier,organization_disambiguation_source,department_name,role_title,url_value,display_index,visibility,created_date_value,start_date_year_value,start_date_month_value,start_date_day_value,end_date_year_value,end_date_month_value,end_date_day_value
Kathi,2018-12-14,2018-12-14,Gant,NA,,0000-0002-3512-6266,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,"Jack, Joseph, and Morton Mandel School of Applied Social Sciences","Field Faculty Advisor, Clinical Instructor",NA,1,public,2018-12-14,2004,01,05,NA,NA,NA
Bart,2017-08-29,2017-08-29,Jarmusch,NA,,0000-0002-5556-1003,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Department of Physiology and Biophysics,Manager of Graduate Education,NA,0,public,2017-08-29,2017,06,01,NA,NA,NA
William,2018-02-16,2018-02-16,Claspy,NA,,0000-0001-5292-8423,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Kelvin Smith Library,"Librarian, Research Services",https://library.case.edu,0,public,2018-03-01,1988,10,03,NA,NA,NA
Urvashi,2016-04-15,2016-04-15,Rai,NA,,0000-0002-2269-423X,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Molecular Biology and Microbiology,Graduate Student,NA,0,public,2014-08-29,2012,08,07,NA,NA,NA
Richard,2016-04-15,2016-04-15,Shrake,NA,,0000-0002-1362-829X,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Library,"Team Leader, Digital Learning & Scholarship",NA,0,public,2015-07-30,2015,07,01,NA,NA,NA
Edwin,2016-04-15,2016-04-15,Burwell,NA,,0000-0002-3863-3335,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,NA,NA,NA,0,public,2015-12-08,NA,NA,NA,NA,NA,NA
Michael,2018-02-23,2018-02-23,Yeager,NA,,0000-0003-3387-8752,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,UTech,Analyst Programmer,NA,0,public,2018-02-23,1988,02,08,NA,NA,NA
Jung-Wen,2018-07-11,2018-07-11,Kuo,NA,,0000-0002-6777-9819,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Radiology,Research assistant,NA,0,public,2018-07-11,2015,09,21,NA,NA,NA
Adina,2018-11-09,2018-11-09,Brett-Morris,NA,,0000-0003-4454-9479,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Pharmacology,Research Associate,NA,1,public,2018-11-16,2012,01,16,NA,NA,NA
Emma,2022-01-13,2022-01-13,McCann,NA,,0000-0001-6507-4500,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Begun Center for Violence Prevention,Research Assistant II,NA,1,public,2022-01-13,2022,01,04,NA,NA,NA
ouahiba,2016-04-15,2016-04-15,damouche,NA,,0000-0002-9066-8922,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,philosophy,visiting scholar,NA,0,public,2015-02-19,2013,10,01,NA,NA,NA
Jody,2018-12-13,2018-12-13,Timko,NA,,0000-0002-2491-9754,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,MSASS,Clinical Instructor,NA,1,public,2018-12-13,2013,12,NA,NA,NA,NA
john,2020-04-26,2020-04-26,moore,NA,,0000-0001-6799-9128,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Pediatrics,Neonatologist - Professor,NA,1,public,2020-04-26,1982,07,01,NA,NA,NA
Scott,2018-12-12,2018-12-12,Wilkes,NA,,0000-0003-2752-8844,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,"The Jack, Joseph and Morton Mandel School of Applied Social Sciences",Assistant Professor,NA,1,public,2018-12-12,2013,01,06,NA,NA,NA
Elizabeth,2017-01-06,2017-01-06,Anthony,NA,,0000-0001-5876-0131,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,"Jack, Joseph and Morton Mandel School of Applied Social Sciences (MSASS)",Research Assistant Professor,NA,1,public,2018-12-12,2013,09,01,NA,NA,NA
Yinyin,2019-04-02,2019-04-02,Ge,NA,,0000-0001-6115-8475,NA,,,,,Case Western Reserve University,Cleveland,Ohio,US,2546,RINGGOLD,NA,NA,NA,1,public,2019-04-19,NA,NA,NA,NA,NA,NA
Heather,2018-07-12,2018-07-12,NA,NA,,0000-0002-8725-290X,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,NA,NA,NA,0,public,2018-07-12,1994,07,01,NA,NA,NA
Ronak,2016-04-15,2016-04-15,Bhimani,NA,,0000-0002-2921-3814,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Internal Medicine,PGY1- IM at St. Vincent/Case,NA,0,public,2015-05-19,2014,07,01,NA,NA,NA
Cheryl,2018-03-16,2018-03-16,Burden,NA,,0000-0001-9919-0470,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Kelvin Smith Library,NA,NA,0,public,2018-03-16,1995,06,01,NA,NA,NA
Cindy,2016-04-15,2016-04-15,Motley,NA,,0000-0002-7287-3180,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Nursing,Instructor of Nursing,NA,0,public,2015-08-13,2009,01,NA,NA,NA,NA
Marie,2018-10-11,2018-10-11,Vibbert,NA,,0000-0002-0409-0475,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Utech,Developer,NA,1,public,2018-10-12,2007,08,01,NA,NA,NA
Jennifer,2018-12-14,2018-12-14,Collins-Lakner,NA,,0000-0001-7320-2605,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,NA,NA,NA,1,public,2018-12-14,NA,NA,NA,NA,NA,NA
Mary,2018-04-12,2018-04-12,Variath,NA,,0000-0002-2528-0550,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,NA,NA,NA,1,public,2019-04-10,NA,NA,NA,NA,NA,NA
Craig,2016-04-15,2016-04-15,Zullig,NA,,0000-0002-3021-9949,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Mandel School of Applied Social Sciences,Director of Research Administration,NA,0,public,2014-12-09,2013,09,30,NA,NA,NA
Weichuan,2019-12-03,2019-12-03,Dong,NA,,0000-0002-3981-658X,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Department of Population and Quantitative Health Sciences,NA,NA,1,public,2021-11-30,NA,NA,NA,NA,NA,NA
Sameera,2016-04-15,2016-04-15,Wickramasinghe,NA,,0000-0001-6991-786X,NA,,,,,Case Western Reserve University,OH,OH,US,http://dx.doi.org/10.13039/100008136,FUNDREF,Chemistry,Graduate Research Assistant,NA,1,public,2019-09-12,2015,08,17,NA,NA,NA
Vera,2018-11-27,2018-11-27,Tobin,NA,,0000-0002-6204-7686,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Cognitive Science,Associate Professor,http://cognitivescience.case.edu/faculty/vera-tobin/,1,public,2019-01-03,2012,07,01,NA,NA,NA
Richard,2018-12-13,2018-12-13,Kruszynski,NA,,0000-0001-7635-4807,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Mandel School of Applied Social Sciences/Center for Evidence Based Practices,Director of Consultation & Training,https://www.centerforebp.case.edu/,1,public,2018-12-13,2002,08,NA,NA,NA,NA
Marcin,2017-04-21,2017-04-21,Golczak,NA,,0000-0001-7477-4357,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Pharmacology,Associate Professor,NA,1,public,2022-05-26,NA,NA,NA,NA,NA,NA
Jared,2018-02-23,2018-02-23,Bendis,NA,,0000-0002-0192-2926,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Kelvin Smith Library,Creative New Media Officer,http://library.case.edu,0,public,2018-02-23,1994,11,07,NA,NA,NA
Huong T. X.,2020-02-20,2020-02-20,Nguyen,NA,,0000-0002-5989-1405,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Chemistry,Doctoral candidate,NA,1,public,2020-02-20,2018,07,01,NA,NA,NA
Michael,2018-03-14,2018-03-14,Rauscher,NA,,0000-0002-0607-1083,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Biology,Postdoctoral Scholar,NA,1,public,2021-12-01,2021,06,01,NA,NA,NA
James,2018-12-06,2018-12-06,Hagerty,James R. Hagerty,,0000-0001-5507-243X,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Biology,PhD Candidate,NA,1,public,2018-12-06,2014,08,NA,NA,NA,NA
Ahmed,2021-03-13,2021-03-13,Gamal,NA,,0000-0001-7215-4445,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Dermatology ,Research Scholar ,NA,1,public,2021-03-13,2020,07,15,NA,NA,NA
Ellen,2018-08-20,2018-08-20,Van Oosten,NA,,0000-0002-8534-6101,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Organizational Behavior,"Associate Professor, Organizational Behavior",https://weatherhead.case.edu/faculty/ellen-van-oosten,1,public,2018-08-20,2013,06,01,NA,NA,NA
Nora L.,2016-04-15,2016-04-15,Nock,NA,,0000-0002-6476-6692,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Epidemiology & Biostatistics,Associate Professor,NA,0,public,2015-01-27,NA,NA,NA,NA,NA,NA
Timothy,2016-04-15,2016-04-15,Nilsen,NA,,0000-0002-7276-3571,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Center for RNA Molecular Biology,Professor and Director,NA,0,public,2014-12-02,NA,NA,NA,NA,NA,NA
Anthony,2016-04-15,2016-04-15,Jack,NA,,0000-0001-9613-3964,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Philosophy,Associate Professor,NA,0,public,2014-02-07,2007,07,01,NA,NA,NA
Colin,2018-12-14,2018-12-14,McLarty,NA,,0000-0002-3181-7537,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,"Philosophy, Mathematics","Truman P. Handy Professor, Philosophy Dept Chair",NA,1,public,2018-12-14,NA,NA,NA,NA,NA,NA
Robert,2016-04-15,2016-04-15,Bonomo,NA,,0000-0002-3299-894X,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,NA,NA,NA,1,public,2020-08-25,NA,NA,NA,NA,NA,NA
Natarajan,2016-04-15,2016-04-15,Bhaskaran,NA,,0000-0003-2823-5170,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Biological Sciences,Research Associate,NA,1,public,2020-04-03,2009,03,30,NA,NA,NA
Heath,2018-05-22,2018-05-22,Demaree,NA,,0000-0001-9655-8882,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Psychological Sciences,Professor,https://psychsciences.case.edu/faculty/heath-demaree/,1,public,2019-08-19,2001,06,01,NA,NA,NA
Faye,2018-11-02,2018-11-02,Gary,NA,,0000-0003-4119-3286,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,NA,Professor,NA,1,public,2019-10-24,NA,NA,NA,NA,NA,NA
Mark,2019-10-09,2019-10-09,Aulisio,NA,,0000-0002-6423-8523,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Department of Bioethics,Susan E. Watson Professor and Chair,https://case.edu/medicine/bioethics/,1,public,2019-10-09,2000,09,01,NA,NA,NA
Binyu,2017-08-21,2017-08-21,Lu,NA,,0000-0001-7155-819X,NA,,,,,Case Western Reserve University,Cleveland,Ohio,US,grid.67105.35,GRID,Genetic and Genome Sciences,Postdoctoral Scholar,NA,1,public,2020-09-22,2019,05,03,NA,NA,NA
Clemens,2016-04-15,2016-04-15,Burda,NA,,0000-0002-7342-2840,"Dr. Burda co-authored a review on the Chemistry and Properties of Nanocrystals of Different Shapes, which is one of the most accessed and cited publications in 2005, 2006, and 2007. He contributed to ~170 publications, H-indexed ~40.

Dr. Clemens Burda is the Director of the Center for Chemical Dynamics and Nanomaterials Research in the Chemistry Department, Case Western Reserve University. Since 2001 he is appointed as a faculty in Physical Chemistry specializing on Nanoscience and Nanotechnology. His interests revolve around optically active or activatable nanomaterials for energy conversion, environmental studies, and health applications. This applies in areas such as photovoltaics, photocatalysis, photobiology and biomedicine, including bioimaging, therapy and tissue targeting for drug delivery. Prof. Burda received his chemistry education in Switzerland and graduated as a doctor of philosophy and science with honors in 1997 from the University of Basel. Dr. Burda is a reviewer for top-ranked nanoscience and chemistry journals, an editorial member for the International Journal of Nanotechnology, and an organizer of the Nanomaterials Conference at the 50th annual SPIE meeting in 2005. He speaks regularly at international conferences. He is also the co-founder of Cleveland Nanocrystal Inc.

Dr. Burda's work is based on these two simple ideas:

    The important issues for our future are mainly Energy, Environment, and Health.
    The important solutions to these challenges will come from using mainly Sun Light as abundant and decentralized energy source.

Therefore, his research is focused on topics outline on the Burda Research Group Web Site:
http://case.edu/artsci/chem/faculty/burda/",,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Chemistry,Professor of Chemistry,NA,1,public,2019-02-01,2001,07,01,NA,NA,NA
Venkataramanan,2019-05-06,2019-05-06,Balakrishnan,NA,,0000-0001-9284-2202,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Engineering,Dean,https://engineering.case.edu/about/dean,1,public,2019-05-06,2018,09,04,NA,NA,NA
Mark,2018-04-06,2018-04-06,Singer,Mark I. Singer,,0000-0002-2084-7693,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Mandel School of Applied Social Sciences,Leonard W. Mayo Professor of Family and Child Welfare,NA,1,public,2018-12-13,1987,NA,NA,NA,07,01
Marija,2016-04-15,2016-04-15,Prica,NA,,0000-0002-3305-8001,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,EECS,Assistant Professor,NA,0,public,2017-12-14,2014,07,01,NA,NA,NA
Justine,2020-06-08,2020-06-08,Renauld,NA,,0000-0003-4759-4021,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Otolaryngology,Postdoc,NA,1,public,2020-06-08,2017,09,01,NA,NA,NA
Faramarz,2017-11-14,2017-11-14,Ismail-Beigi,NA,,0000-0002-1154-5482,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Medicine,NA,NA,0,public,2018-03-06,1993,07,01,NA,NA,NA
David,2017-08-23,2017-08-23,Hussey,NA,,0000-0002-2657-8252,"David L. Hussey is an Associate Professor at the Jack, Joseph and Morton Mandel School of Applied Social Sciences (MSASS) at Case Western Reserve University (CWRU), and the Associate Director for Research at the Begun Center for Violence Prevention Research and Education. 

Dr. Hussey’s primary areas of research are in trauma, violence and victimization, and behavioral health interventions.  Dr. Hussey is an accomplished clinician, researcher and teacher with over thirty-five years of clinical experience in behavioral health, criminal justice, school-based and child welfare settings. He has designed and directed a variety of trauma therapy and treatment programs across these settings including developing and implementing one of the first batterer intervention programs in Ohio. 

As a researcher (Principal or Co-principal investigator) Dr. Hussey has generated over twelve million dollars in research funding and maintains a strong focus on applied community-based research, collaborating with multiple public and private behavioral health and criminal justice entities. Dr. Hussey has conducted numerous process and outcome evaluations of federally funded intervention programs. He teaches and lectures in the growing area of implementation science.",,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Mandel School of Applied Social Sciences,Associate Professor,NA,1,public,2018-09-21,2012,08,01,NA,NA,NA
An,2016-10-28,2016-10-28,Wang,NA,,0000-0002-1701-9176,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Electrical Engineering and Computer Science,Assistant Professor,NA,1,public,2018-10-12,2018,07,01,NA,NA,NA
Meghan,2018-12-05,2018-12-05,Salas Atwell,NA,,0000-0003-2756-081X,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Mandel School of Applied Social Sciences,Senior Research Associate,NA,1,public,2018-12-05,2016,09,01,NA,NA,NA
Maryjo,2016-04-15,2016-04-15,Prince-Paul,NA,,0000-0002-1387-6568,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,School of Nursing ,Professor ,NA,1,public,2019-10-24,2001,NA,NA,NA,NA,NA
Kathryn,2017-12-08,2017-12-08,Daltorio,NA,,0000-0001-6994-1536,NA,,,,,Case Western Reserve University,Cleveland Ohio,NA,US,2546,RINGGOLD,Mechanical and Aerospace Engineering,NA,NA,0,public,2017-12-30,2017,08,21,NA,NA,NA
Michael,2017-12-15,2017-12-15,Rabinovich,NA,,0000-0002-1215-9591,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,EECS,Professor,http://engr.case.edu/rabinovich_michael/,0,public,2017-12-15,2005,08,01,NA,NA,NA
Mohammadhadi,2018-10-19,2018-10-19,Khorrami,NA,,0000-0002-4141-8548,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Biomedical Engineering,NA,NA,1,public,2018-10-19,2014,09,10,NA,NA,NA
Zhongbo,2016-04-15,2016-04-15,Zhang,NA,,0000-0001-5294-444X,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Macromolecular Science and Engineering,Research Associate,NA,0,public,2018-03-29,2018,02,01,NA,NA,NA
Reshani,2019-02-22,2019-02-22,Perera,NA,,0000-0002-7856-0484,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,NA,NA,NA,1,public,2019-03-01,NA,NA,NA,NA,NA,NA
Katherine,2016-04-15,2016-04-15,Krynak,NA,,0000-0002-6458-6288,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Department of Biology,Postdoctoral Scholar ,NA,0,public,2015-06-29,2015,09,01,NA,NA,NA
Gillian,2018-01-22,2018-01-22,Weiss,NA,,0000-0002-9220-7871,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,History,Professor,NA,1,public,2020-06-02,2002,NA,NA,NA,NA,NA
Roberto,2016-04-15,2016-04-15,Fernández Galán,Roberto F. Galán,,0000-0003-1426-1917,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Electrical Engineering and Computer Science,Assistant Professor,NA,0,public,2017-09-15,NA,NA,NA,NA,NA,NA
JC,2020-07-31,2020-07-31,Scharf-Deering,NA,,0000-0001-8924-3479,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Bioethics,Research Assistant,NA,1,public,2020-07-31,NA,NA,NA,NA,NA,NA
Minh,2019-11-06,2019-11-06,Lam,NA,,0000-0003-1373-4241,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Medicine,Assistant Professor,NA,1,public,2019-11-06,2008,07,01,NA,NA,NA
Angela,2019-10-29,2019-10-29,Lenard,NA,,0000-0002-0085-0473,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Department of Biology,PhD Candidate,NA,1,public,2019-11-06,2018,08,NA,NA,NA,NA
Anastasia,2016-04-15,2016-04-15,Dimitropoulos,NA,,0000-0001-7765-1010,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Psychological Sciences,NA,NA,1,public,2020-06-03,2005,07,01,NA,NA,NA
George,2016-04-15,2016-04-15,Lee,NA,,0000-0002-8705-9210,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Biomedical Engineering,Research Assistant Professor,NA,0,public,2015-12-04,NA,NA,NA,NA,NA,NA
Fady,2019-02-20,2019-02-20,Faddoul,NA,,0000-0002-0055-3719,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Comprehensive Care,Professor and Chair,NA,1,public,2019-02-21,NA,NA,NA,NA,NA,NA
Kristopher,2021-04-29,2021-04-29,Kramp,NA,,0000-0003-2121-9274,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,NA,NA,https://case.edu/,1,public,2021-04-29,2002,03,25,NA,NA,NA
B. Jessie,2019-02-20,2019-02-20,Hill,NA,,0000-0002-0852-5739,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Law,Associate Dean for Academic Affairs,NA,1,public,2019-02-20,2003,07,01,NA,NA,NA
Arnold,2016-04-15,2016-04-15,Caplan,NA,,0000-0002-8677-6621,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Biology,Professor,http://artsci.case.edu/skeletal/a-message-from-the-director/,0,public,2018-07-17,1969,NA,NA,NA,NA,NA
Anna,2020-02-09,2020-02-09,Bruchez,NA,,0000-0003-1695-5349,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Pathology,Faculty,NA,1,public,2020-02-09,2019,09,01,NA,NA,NA
Alfred,2018-04-23,2018-04-23,Hausladen,NA,,0000-0003-1386-4556,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Institute for Transformative Molecular Medicine,Research Scientist,NA,1,public,2021-03-23,2010,08,01,NA,NA,NA
Mehran,2018-07-12,2018-07-12,Mehregany,NA,,0000-0003-0155-4235,"Mehran Mehregany is an innovator, researcher, educator, and an entrepreneur. He has founded, financed and managed a number of technology startups since 1990. He is also a visionary of ‘open innovation’ and founder of NineSigma, Inc., a leading global provider of open innovation solutions and a forerunner of the field. His interests are in sensors, micro/nano-electro-mechanical systems, silicon carbide microsystems, wearables, wireless health, and enterprise innovation models. He has made notable contributions in these areas. 
He received his M.S. and Ph.D. in Electrical Engineering from Massachusetts Institute of Technology in 1986 and 1990, respectively. He joined Case Western Reserve University in 1990 as an assistant professor in the Electrical Engineering and Computer Science Department, was promoted to associate professor with tenure in 1994 and full professor in 1997. He is currently the Founding Director of Case School of Engineering San Diego, where he has developed and launched graduate programs in wireless health and wearable computing in 2011 and 2014, respectively. He holds the Veale Professor of Wireless Health Innovation endowed chair, and previously held the Goodrich (2000-2015) and the George S. Dively (1997-2000) endowed chairs. He has a secondary appointment in the Biomedical Engineering Department.
He was a consultant to the Robotic Systems Research Department at AT&T Bell Laboratories (1986-1990), where he was a key contributor to groundbreaking research in microelectromechanical systems (MEMS). From November 2009 through August 2010 (taking a leave from Case), Mehregany was the founding Executive Vice President of Engineering, Chief of Engineering Research, and the Gary and Mary West Endowed Chair of Wireless Health Technology at the West Health Institute (fka, West Wireless Health Institute). During this period, he formulated the Institute's engineering program, recruited the initial talent and launched the initial research activities and product developments, including Sense4Baby, which was brought to the market by AirStrip and Apple in 2015.
Mehregany is well known for research, education and commercialization in his areas of interest. He has 400+ publications describing his work, holds 28 U.S. patents and is the recipient of a number of awards/honors. He is the editor of the first Wireless Health textbook titled “Wireless Health: Remaking of Medicine by Pervasive Technologies” (2014) and the author of the book titled “Innovation for Engineers” (2017).",,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,"Electrical, Computer and Systems Engineering",Professor,https://engineering.case.edu/profiles/mxm31,1,public,2019-12-12,1990,07,01,NA,NA,NA
